cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
filter_1_filter_input,filter_1_filter_input,0,0,1,Filter 1 FILTER Input,106,Filter 1 FILTER Input,106,Filter 1 FILTER Input
filter_1_formant_resonance,filter_1_formant_resonance,0.850000023841858,0.300000011920929,1,Filter 1 Formant Resonance,107,Filter 1 Formant Resonance,107,Filter 1 Formant Resonance
filter_1_formant_spread,filter_1_formant_spread,0,-1,1,Filter 1 Formant Spread,752,Filter 1 Formant Spread,752,Filter 1 Formant Spread
filter_1_formant_transpose,filter_1_formant_transpose,0,-12,12,Filter 1 Formant Transpose,108,Filter 1 Formant Transpose,108,Filter 1 Formant Transpose
filter_1_formant_x,filter_1_formant_x,0.5,0,1,Filter 1 Formant X,109,Filter 1 Formant X,109,Filter 1 Formant X
filter_1_formant_y,filter_1_formant_y,0.5,0,1,Filter 1 Formant Y,110,Filter 1 Formant Y,110,Filter 1 Formant Y
filter_1_keytrack,filter_1_keytrack,0,-1,1,Filter 1 Key Track,111,Filter 1 Key Track,111,Filter 1 Key Track
filter_1_mix,filter_1_mix,1,0,1,Filter 1 Mix,112,Filter 1 Mix,112,Filter 1 Mix
filter_1_model,filter_1_model,0,0,7,Filter 1 Model,113,Filter 1 Model,113,Filter 1 Model
filter_1_on,filter_1_on,0,0,1,Filter 1 Switch,114,Filter 1 Switch,114,Filter 1 Switch
filter_1_resonance,filter_1_resonance,0.5,0,1,Filter 1 Resonance,115,Filter 1 Resonance,115,Filter 1 Resonance
filter_1_style,filter_1_style,0,0,8,Filter 1 Style,116,Filter 1 Style,116,Filter 1 Style
filter_2_blend,filter_2_blend,0,0,2,Filter 2 Blend,117,Filter 2 Blend,117,Filter 2 Blend
filter_2_blend_transpose,filter_2_blend_transpose,42,0,84,Filter 2 Comb Blend Offset,118,Filter 2 Comb Blend Offset,118,Filter 2 Comb Blend Offset
filter_2_cutoff,filter_2_cutoff,60,8,136,Filter 2 Cutoff,119,Filter 2 Cutoff,119,Filter 2 Cutoff
filter_2_drive,filter_2_drive,0,0,20,Filter 2 Drive,120,Filter 2 Drive,120,Filter 2 Drive
filter_2_filter_input,filter_2_filter_input,0,0,1,Filter 2 FILTER Input,121,Filter 2 FILTER Input,121,Filter 2 FILTER Input
filter_2_formant_resonance,filter_2_formant_resonance,0.850000023841858,0.300000011920929,1,Filter 2 Formant Resonance,122,Filter 2 Formant Resonance,122,Filter 2 Formant Resonance
filter_2_formant_spread,filter_2_formant_spread,0,-1,1,Filter 2 Formant Spread,753,Filter 2 Formant Spread,753,Filter 2 Formant Spread
filter_2_formant_transpose,filter_2_formant_transpose,0,-12,12,Filter 2 Formant Transpose,123,Filter 2 Formant Transpose,123,Filter 2 Formant Transpose
filter_2_formant_x,filter_2_formant_x,0.5,0,1,Filter 2 Formant X,124,Filter 2 Formant X,124,Filter 2 Formant X
filter_2_formant_y,filter_2_formant_y,0.5,0,1,Filter 2 Formant Y,125,Filter 2 Formant Y,125,Filter 2 Formant Y
filter_2_keytrack,filter_2_keytrack,0,-1,1,Filter 2 Key Track,126,Filter 2 Key Track,126,Filter 2 Key Track
filter_2_mix,filter_2_mix,1,0,1,Filter 2 Mix,127,Filter 2 Mix,127,Filter 2 Mix
filter_2_model,filter_2_model,0,0,7,Filter 2 Model,128,Filter 2 Model,128,Filter 2 Model
filter_2_on,filter_2_on,0,0,1,Filter 2 Switch,129,Filter 2 Switch,129,Filter 2 Switch
filter_2_resonance,filter_2_resonance,0.5,0,1,Filter 2 Resonance,130,Filter 2 Resonance,130,Filter 2 Resonance
filter_2_style,filter_2_style,0,0,8,Filter 2 Style,131,Filter 2 Style,131,Filter 2 Style
filter_fx_blend,filter_fx_blend,0,0,2,Filter fx Blend,132,Filter fx Blend,132,Filter fx Blend
filter_fx_blend_transpose,filter_fx_blend_transpose,42,0,84,Filter fx Comb Blend Offset,133,Filter fx Comb Blend Offset,133,Filter fx Comb Blend Offset
filter_fx_cutoff,filter_fx_cutoff,60,8,136,Filter fx Cutoff,134,Filter fx Cutoff,134,Filter fx Cutoff
filter_fx_drive,filter_fx_drive,0,0,20,Filter fx Drive,135,Filter fx Drive,135,Filter fx Drive
